"Time"	relE	relB	hokD	alaS	ilvN
250	0.0708097	0.7029652	0.0026931	0.5073641	0.7902431
300	0.0437527	0.8387672	0.0074048	0.5250298	0.8138390
350	0.0397176	0.8714761	0.0044885	0.5136646	0.6589947
400	0.1201227	0.7362204	0.0223435	0.4563316	0.6459026
450	0.0734695	0.8562464	0.0059742	0.5650773	0.7646657
500	0.0823216	0.8012933	0.0127857	0.4710534	0.6349562
550	0.1230596	0.6598470	0.0604774	0.4933308	0.7233482
600	0.0744202	0.7743960	0.0454690	0.5739903	0.7074216
650	0.0795322	0.7285237	0.0778260	0.6123814	0.7056417
700	0.0943130	0.6935552	0.1182198	0.7138820	0.7302010
750	0.0859423	0.6265220	0.1430598	0.7031616	0.6753342
800	0.0631631	0.6481350	0.0711964	0.7364138	0.9344295
850	0.0488895	0.8162871	0.0548873	0.7314157	0.6885592
900	0.0567123	0.7436059	0.0623768	0.8426397	0.8233347
950	0.0741395	0.7250639	0.0530328	0.7002213	0.9388326
1000	0.0780106	0.7016780	0.0449947	0.9168136	0.7063432

0	0.0832210	0.7299916	0.0629707	0.5759842	0.8691118
50	0.0436931	0.7027632	0.0630296	0.7827217	0.7231754
100	0.0235314	0.5903167	0.0998802	0.8094170	0.5776061
150	0.0365045	0.7159218	0.1316920	0.7094178	0.6051944
200	0.0278403	0.8001893	0.1495646	0.7209925	0.6076545
250	0.0115311	0.7467396	0.2222542	0.7145588	0.6918394
300	0.0010220	0.7095645	0.3820001	0.8477446	0.7992922
350	0.0011971	0.7736362	0.5947931	0.6126516	0.6239539
400	0.0052106	0.6211076	0.4922386	0.7792760	0.5678723
450	0.0019241	0.7972077	0.5660114	0.7842157	0.7144037
500	0.0007703	0.7626249	0.4624643	0.8028501	0.7613032
550	0.0123997	0.6511834	0.4543076	0.7907576	0.7148524
600	0.0516796	0.7260689	0.2258432	0.7594743	0.6629178
650	0.0784695	0.7133243	0.1020130	0.7030454	0.6598738
700	0.0618946	0.9411851	0.0726031	0.7220205	0.8469983
750	0.0561191	0.8286563	0.0374546	0.8079271	0.6453989
800	0.0969971	0.6202028	0.0882817	0.6367495	0.6281664
850	0.0643166	0.6139486	0.0736383	0.6771368	0.6753008
900	0.0588893	0.6606003	0.0664216	0.6097668	0.7212421
950	0.0668836	0.7151320	0.0934456	0.5819040	0.6773451
1000	0.0385725	0.7725072	0.0403921	0.6427469	0.6178774

0	0.0785448	0.7154199	0.0826584	0.6385712	0.6340999
50	0.1056046	0.8609915	0.1265653	0.6533860	0.3889363
100	0.1108791	0.6712078	0.0491034	0.6887878	0.3070902
150	0.1004494	0.6202329	0.0626071	0.7247771	0.2054782
200	0.0715954	0.6206177	0.0721583	0.8121888	0.1208086
250	0.0489443	0.7032249	0.0548950	0.7303549	0.1747820
300	0.0444438	0.7341159	0.0740107	0.7036452	0.1320435
350	0.1204488	0.6824161	0.1199560	0.6954460	0.2132308
400	0.0913195	0.6492674	0.0671388	0.7319982	0.1219263
450	0.0682193	0.6775353	0.0603185	0.6564006	0.1385876
