"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
150	0.6499074	1.0725035	0.1918630	0.3272490	0.3319465	0.0493112	0.2663507	0.1323942	0.2851224	0.2075715	0.1855923	0.0400023	0.0064846	0.5507459	1.0187353	0.0360762	0.2552480	0.5126127	0.2123612	0.4812494
200	0.6829049	1.1011885	0.1584790	0.2843258	0.3817615	0.0616748	0.2285942	0.1702897	0.2418552	0.2053733	0.1681721	0.0166287	0.0014916	0.5657444	1.0059691	0.0231702	0.2260270	0.4587943	0.1638035	0.3926594
250	0.8105217	1.0052750	0.1636113	0.2637570	0.2916980	0.0406587	0.2010520	0.1570539	0.2277335	0.1843476	0.1715063	0.0255505	0.0000000	0.5843777	0.9082341	0.0221599	0.2047401	0.4817830	0.1937732	0.3998986
300	0.7572447	0.9984146	0.1650452	0.3119187	0.3915780	0.0609553	0.2438478	0.1244687	0.3000528	0.1750165	0.2108688	0.0285900	0.0002528	0.5699806	0.9656309	0.0345794	0.2568952	0.4703824	0.1883318	0.4222475
350	0.7832509	1.0024972	0.1773447	0.3884438	0.3944892	0.0320665	0.2306656	0.1396578	0.2838736	0.2307995	0.2276197	0.0272560	0.0026766	0.5720963	0.9687032	0.0213772	0.2699551	0.4845601	0.2662384	0.4054584
400	0.7463185	1.0348362	0.1744960	0.2616421	0.4104240	0.0397885	0.2129059	0.1172722	0.2445817	0.2285359	0.1950714	0.0450874	0.0005898	0.5773123	0.9754209	0.0226879	0.2701255	0.4774961	0.3045349	0.4344884
450	0.7081857	0.9578116	0.1427806	0.2587407	0.3684131	0.0357395	0.2282471	0.1134244	0.2267167	0.1521189	0.1810801	0.0282232	0.0001349	0.6040851	1.0268750	0.0113067	0.2329632	0.5073843	0.2530524	0.3679739
500	0.7056653	1.0330639	0.1871505	0.3085120	0.4084304	0.0272532	0.2618262	0.1406700	0.2275179	0.1267811	0.1670385	0.0250626	0.0020824	0.6041444	0.8626375	0.0048995	0.2450808	0.4587464	0.2446103	0.3623091
550	0.7030176	1.0246672	0.4302259	0.2749025	0.4157247	0.0432292	0.2637245	0.1199427	0.2237720	0.1629239	0.1851124	0.0317149	0.0217234	0.5809092	0.9586289	0.0162187	0.2377688	0.4336475	0.1853519	0.3588500
600	0.7314754	0.9990168	0.4729574	0.2993583	0.4118671	0.0636432	0.2741205	0.1283942	0.2044607	0.1745870	0.1780987	0.0379478	0.0410632	0.5830715	0.9829246	0.0162474	0.2511606	0.4341952	0.1967847	0.3183828
650	0.7194197	0.9692026	0.5365948	0.3392517	0.3712756	0.0456928	0.3123819	0.1632825	0.2334428	0.2054343	0.1648392	0.0324651	0.0510512	0.5668026	1.0646451	0.0276540	0.2553865	0.4335771	0.2232183	0.4266759
700	0.7111533	0.9812298	0.4733440	0.3051383	0.4331794	0.0431069	0.3069677	0.2041018	0.2375155	0.2651851	0.1916580	0.0477292	0.0504551	0.5690072	0.9372610	0.0162147	0.2972367	0.4263696	0.3206096	0.4326924
750	0.7117232	0.9415406	0.4865750	0.3296612	0.4416497	0.0311822	0.2749466	0.1517376	0.2038089	0.2623282	0.2199049	0.0262336	0.0452132	0.5392426	0.9582916	0.0078506	0.2711411	0.5316700	0.3066270	0.4536613
800	0.7174441	1.0408282	0.5672786	0.3687187	0.4286557	0.0303172	0.2684381	0.2295617	0.2186800	0.2912767	0.2101274	0.0494424	0.0536215	0.5338594	0.9359781	0.0122527	0.2520372	0.5219212	0.2620506	0.5012174
850	0.7222748	0.9318158	0.5461146	0.3377272	0.4058943	0.0283569	0.2915305	0.2335518	0.1876742	0.2501591	0.2587108	0.0398394	0.0417871	0.5751537	1.0512618	0.0233126	0.2470606	0.5692212	0.2683138	0.4196512
900	0.6685361	0.9297895	0.4991462	0.2437243	0.4236510	0.0333406	0.2972203	0.2207156	0.1779536	0.2097658	0.2210898	0.0459677	0.0313008	0.5755526	0.9583412	0.0171971	0.2529305	0.5762626	0.2432577	0.4026671
950	0.7563929	0.9792288	0.5241501	0.2972759	0.4368995	0.0449107	0.2929307	0.2113663	0.2347299	0.2374309	0.2124889	0.0353775	0.0476129	0.6191716	0.9273500	0.0136571	0.2508892	0.5592309	0.2737282	0.3960424
1000	0.7387108	1.0157239	0.5002250	0.2974003	0.3545232	0.0455247	0.2725284	0.2789944	0.2491610	0.2263213	0.1780593	0.0178217	0.0339240	0.5932911	0.9871961	0.0117467	0.2147637	0.5156711	0.3029250	0.4167169

0	0.8053952	1.0430033	0.5027263	0.2848109	0.4076368	0.0596438	0.3139982	0.1678955	0.2677928	0.1726433	0.2185841	0.0346736	0.0329177	0.5984516	0.9806326	0.0255934	0.2377669	0.4847804	0.2140663	0.4079076
50	0.7988509	0.6785755	0.4842860	0.2423384	0.3479785	0.0576281	0.1104127	0.1083057	0.0866617	0.1891857	0.1834761	0.0410356	0.0424154	0.5760615	0.9987474	0.0041446	0.2207050	0.4724858	0.0632098	0.3857625
100	0.7065414	0.5780942	0.6019321	0.4260542	0.4076694	0.0697418	0.0617415	0.1211551	0.0273258	0.3548545	0.3054414	0.0522489	0.0363835	0.5081780	0.9656511	0.0006978	0.2681407	0.4974365	0.0605099	0.5379872
150	0.5783471	0.5138940	0.6399663	0.6945651	0.4914902	0.0309821	0.0799453	0.1795409	0.0078381	0.6564274	0.3421647	0.0428327	0.0321794	0.3801527	0.9859240	0.0000000	0.3939527	0.5183864	0.0991334	0.5612656
