"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
900	1.0000000	0.0035639	1.0000000	0.0675737	0.2239694	0.2081355	0.2015026	0.9990915	0.4773901	0.1275016
950	1.0000000	0.0035643	1.0000000	0.0676157	0.2240237	0.2082143	0.2015165	0.9990804	0.4773348	0.1277419
1000	1.0000000	0.0035644	1.0000000	0.0676336	0.2240494	0.2082488	0.2015227	0.9990752	0.4773111	0.1278451

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	1.0000000	0.0035645	1.0000000	0.0335296	0.2236112	0.1732968	0.2011847	0.9992732	0.4804848	0.1166608
100	1.0000000	0.0035645	1.0000000	0.0189404	0.2228066	0.1587763	0.2005331	0.9996395	0.4866995	0.0882400
150	1.0000000	0.0035645	1.0000000	0.0127024	0.2223497	0.1522849	0.2001444	0.9998494	0.4905748	0.0640746
200	1.0000000	0.0035645	1.0000000	0.0100351	0.2221427	0.1495197	0.1999757	0.9999397	0.4923203	0.0497641
250	1.0000000	0.0035645	1.0000000	0.0088947	0.2220537	0.1483839	0.1999100	0.9999753	0.4930293	0.0425721
300	1.0000000	0.0035645	1.0000000	0.0084070	0.2220161	0.1479228	0.1998852	0.9999890	0.4933125	0.0392370
350	1.0000000	0.0035645	1.0000000	0.0081985	0.2220002	0.1477352	0.1998758	0.9999942	0.4934273	0.0377512
400	1.0000000	0.0035645	1.0000000	0.0081094	0.2219936	0.1476580	0.1998723	0.9999962	0.4934748	0.0371025
450	1.0000000	0.0035645	1.0000000	0.0080712	0.2219908	0.1476260	0.1998709	0.9999969	0.4934947	0.0368221
500	1.0000000	0.0035645	1.0000000	0.0080549	0.2219896	0.1476126	0.1998704	0.9999972	0.4935031	0.0367016
550	1.0000000	0.0035645	1.0000000	0.0421666	0.2220067	0.1814540	0.1999298	0.9999790	0.4917875	0.0506455
600	1.0000000	0.0035645	1.0000000	0.0567521	0.2222177	0.1947803	0.2002570	0.9998390	0.4867738	0.0818602
650	1.0000000	0.0035645	1.0000000	0.0629885	0.2226860	0.2015535	0.2007120	0.9995999	0.4823223	0.1048929
700	1.0000000	0.0035645	1.0000000	0.0656551	0.2231844	0.2050622	0.2010751	0.9993834	0.4796862	0.1172892
750	1.0000000	0.0035645	1.0000000	0.0667953	0.2235598	0.2067934	0.2012983	0.9992381	0.4783714	0.1231963
800	1.0000000	0.0035645	1.0000000	0.0672828	0.2237959	0.2076090	0.2014178	0.9991548	0.4777660	0.1258612
850	1.0000000	0.0035645	1.0000000	0.0674913	0.2239298	0.2079808	0.2014769	0.9991113	0.4774979	0.1270321
900	1.0000000	0.0035645	1.0000000	0.0675804	0.2240010	0.2081466	0.2015048	0.9990898	0.4773813	0.1275398
950	1.0000000	0.0035645	1.0000000	0.0676185	0.2240373	0.2082194	0.2015175	0.9990796	0.4773310	0.1277584
1000	1.0000000	0.0035645	1.0000000	0.0676348	0.2240553	0.2082511	0.2015232	0.9990748	0.4773095	0.1278522
